"window","url","title","hostname"
"Current Window","https://docs.google.com/presentation/d/1lL-tQSZmsMasftMTSY1kC047vERrNM3ggCUhavF9l4Y/edit#slide=id.SLIDES_API917450790_0","2-1. 論文寫作 - AI時代的學術研究：知識獲取與寫作輔助 - 淡江大學 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://ai.google.dev/gemini-api/docs/rate-limits","Rate limits  |  Gemini API  |  Google AI for Developers","ai.google.dev"
"Current Window","https://markdownlivepreview.com/","Markdown Live Preview","markdownlivepreview.com"
"Current Window","https://chatgpt.com/c/680d74da-1568-8012-a343-3338d0109a59","LLM模型介紹整理","chatgpt.com"
"Current Window","http://100.88.10.82/plugins","Plugins - Dify","100.88.10.82"
"Current Window","https://chatgpt.com/c/680d719f-26a4-8012-a73e-63ab830496a8","LLM模型意義與定位","chatgpt.com"
"Current Window","https://docs.google.com/spreadsheets/d/1iiSP-G8sqxljillvMHoecRJZ-hoD7UrT/edit?gid=1954449622#gid=1954449622","20250408 演講 張靜宜 AI Agent教學.note.xlsx - Google 試算表","docs.google.com"
"Current Window","https://www.youtube.com/watch?v=mFnmdhESFoM","蔣萬安為何拋出倒閣？抄連署書？小周老師來分析國民黨的連署為何一直出問題！｜午餐大時客 EP.31 精華片段 - YouTube","youtube.com"
"Current Window","http://192.168.195.97:8123/lovelace/0","總覽 – Home Assistant","192.168.195.97"
"Current Window","https://sites.google.com/d/1M8TG_XYoQRIrOSNXCT-kuFasXJIIFUhj/p/1RHI5_MP28lDWXvLfBf13aUCBV41g91Ys/edit","把虛擬助教聘到自己的電腦：動手建立客製化AI教學助理 - 2025","sites.google.com"
"Current Window","chrome-extension://aadahadfdmiibmdhfmpbeeebejmjnkef/manager.html","Window Manager","aadahadfdmiibmdhfmpbeeebejmjnkef"
"Current Window","https://drive.google.com/drive/u/0/recent","近期存取 - Google 雲端硬碟","drive.google.com"
"Current Window","https://docs.google.com/presentation/d/1fLKtZDJMCraDu2I-drVRW7wXqTfLOBHicCmepG9MDOA/edit#slide=id.g35118063ba8_0_1046","2. 環境準備篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/spreadsheets/d/1BOSSayM9PHjXE73i9OsExmCX_-7te68-/edit?gid=1863816267#gid=1863816267","API記錄表格 - 2025.xlsx - Google 試算表","docs.google.com"
"Current Window","https://docs.google.com/spreadsheets/d/1HTPuHtikfqDeBprZHjWWBqLxnQgn0qfb/edit?gid=1863816267#gid=1863816267","Dify API記錄表格.xlsx - Google 試算表","docs.google.com"
"Current Window","https://docs.google.com/spreadsheets/d/1BOSSayM9PHjXE73i9OsExmCX_-7te68-/edit?gid=1863816267#gid=1863816267","API記錄表格 - 2025.xlsx - Google 試算表","docs.google.com"
"Current Window","https://www.google.com/search?q=Hugging+Faces&oq=Hugging+Faces&aqs=chrome..69i57j0i10i512j0i512l2j0i10i512l6.820j0j4&sourceid=chrome&ie=UTF-8","Hugging Faces - Google 搜尋","google.com"
"Current Window","https://www.youtube.com/","YouTube","youtube.com"
"Current Window","https://www.youtube.com/watch?v=jaGrWw1DNBw","大盜五右衛門 4 閃亮道中 -我成為舞者的理由- FINAL BOSS - YouTube","youtube.com"
"Current Window","https://aistudio.google.com/apikey","Get API key | Google AI Studio","aistudio.google.com"
"Current Window","https://huggingface.co/","Hugging Face – The AI community building the future.","huggingface.co"
"Current Window","https://huggingface.co/join","Human Verification","huggingface.co"
"Current Window","https://play.google.com/console/u/0/developers/6583412039019452725/policy-center/issues/4988838305980257256/details","政策審查狀態 - 詳細資料","play.google.com"
"Current Window","https://support.google.com/googleplay/android-developer/answer/9859152","Create and set up your app - Play Console Help","support.google.com"
"Current Window","https://play.google.com/console/u/0/developers/6583412039019452725/notifications","電子郵件通知","play.google.com"
"Current Window","https://support.google.com/googleplay/android-developer/answer/9899234","Enforcement Process - Play Console Help","support.google.com"
"Current Window","https://huggingface.co/login","Hugging Face – The AI community building the future.","huggingface.co"
"Current Window","https://huggingface.co/settings/tokens/new?tokenType=read","Hugging Face – The AI community building the future.","huggingface.co"
"Current Window","https://dangerous-lizard-99.telebit.io/","listing directory /","dangerous-lizard-99.telebit.io"
"Current Window","https://script.google.com/u/0/home/projects/1ggwO5A9iFwWA-1I-kjT1o8exUNcmF0DUkpGUbX0BiFA7ENyvsCfY3Ms4/edit","2. 實作篇 - RAG：技術與應用 - 政治大學 - 2025 - 專案編輯器 - Apps Script","script.google.com"
"Current Window","https://script.google.com/u/0/home/projects/1H_8_TSHzwo8Wu0ByYBqBzc5S12iuYdkagtFu5Z9IHADQTtLUYF6hNyY5/edit","Google Slide Template Lib - 專案編輯器 - Apps Script","script.google.com"
"Current Window","https://scispace.com/papers","200 million+ research papers across 250,000+ topics on SciSpace","scispace.com"
"Current Window","https://www.google.com/search?q=Leveraging+Large+Language+Models+in+Education%3A+Enhancing+Learning+and+Teaching&oq=Leveraging+Large+Language+Models+in+Education%3A+Enhancing+Learning+and+Teaching&aqs=chrome..69i57j69i60.601j0j4&sourceid=chrome&ie=UTF-8","Leveraging Large Language Models in Education: Enhancing Learning and Teaching - Google 搜尋","google.com"
"Current Window","file:///home/pudding/Documents/ramdisk/leveraging-large-language-models-in-education-enhancing-learning-and-teaching.pdf","Leveraging Large Language Models in Education: Enhancing Learning and Teaching",""
"Current Window","https://scispace.com/papers/large-language-model-based-artificial-intelligence-in-the-17ufhygu","Large language model-based artificial intelligence in the language classroom: practical ideas for teaching | Euan Bonner | 45 Citations","scispace.com"
"Current Window","https://www.google.com/search?q=Large+language+model-based+artificial+intelligence+in+the+language+classroom%3A+practical+ideas+for+teaching&sourceid=chrome&ie=UTF-8","Large language model-based artificial intelligence in the language classroom: practical ideas for teaching - Google 搜尋","google.com"
"Current Window","https://www.researchgate.net/publication/368412009_Large_Language_Model-Based_Artificial_Intelligence_in_the_Language_Classroom_Practical_Ideas_For_Teaching","(PDF) Large Language Model-Based Artificial Intelligence in the Language Classroom: Practical Ideas For Teaching","researchgate.net"
