"window","url","title","hostname"
"Current Window","https://geography-vehicle-somewhere-expects.trycloudflare.com/chat/3B61HE18q7QD3GDz","hello - Powered by Dify","geography-vehicle-somewhere-expects.trycloudflare.com"
"Current Window","https://docs.google.com/spreadsheets/d/1xtF9llnF158I_vomyZvA1Tu6ztrU12PTdhGGy_a2l0A/edit?resourcekey=&gid=407043338#gid=407043338","實作：AI助理，請翻譯 - RAG - 2025 (回覆) - Google 試算表","docs.google.com"
"Current Window","https://script.google.com/u/0/home/projects/1RTqPoUllLL3zEKRilAgkw3e2rkp33hiqcA7z9wzYTsYvqgNJhCXu95vq/edit","5. AI助理：多模態篇 - 動手建立客製化AI教學助理 - 2025 - 專案編輯器 - Apps Script","script.google.com"
"Current Window","https://docs.google.com/presentation/d/1wPMb5klFtMWUqoIaosBOjFJjhnt1klRueCkYSvQZRRc/edit#slide=id.SLIDES_API957068578_9","4. AI助理：基本設定篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/forms/d/16pbLASzbjrCaMLxgLbM8_4sPZMFmsfABkoFaAaDKaoY/edit","實作：AI助理，請翻譯 - RAG - 2025 - Google 表單","docs.google.com"
"Current Window","https://script.google.com/u/0/home/projects/1fxD9U1U_WJ8pr2nn7zyDIjkYzAXGmg_MSyGYfNeYYLpsJ8bJiz8XwfIe/edit","4. AI助理：基本設定篇 - 動手建立客製化AI教學助理 - 2025 - 專案編輯器 - Apps Script","script.google.com"
"Current Window","chrome-extension://aadahadfdmiibmdhfmpbeeebejmjnkef/manager.html","Window Manager","aadahadfdmiibmdhfmpbeeebejmjnkef"
"Current Window","chrome://newtab/","New Tab","newtab"
"Current Window","https://sites.google.com/view/pulipuli-25-5-tku","AI時代的學術研究：知識獲取與寫作輔助 - 淡江大學 - 2025","sites.google.com"
"Current Window","https://developers.google.com/apps-script/reference/slides/image","Class Image  |  Apps Script  |  Google for Developers","developers.google.com"
"Current Window","https://geography-vehicle-somewhere-expects.trycloudflare.com/app/f13449c6-8819-42a6-848d-ae338999f066/logs","hello - Dify","geography-vehicle-somewhere-expects.trycloudflare.com"
"Current Window","https://docs.google.com/presentation/d/1wPMb5klFtMWUqoIaosBOjFJjhnt1klRueCkYSvQZRRc/edit#slide=id.SLIDES_API957068578_0","4. AI助理：基本設定篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://news.google.com/home?hl=zh-TW&gl=TW&ceid=TW:zh-Hant","Google 新聞","news.google.com"
"Current Window","https://www.youtube.com/watch?v=L02VDunkwHc","評論區秒封！京東剛進入外賣行業，立刻就出大問題？炸鍋了，真是天雷級別的存在！最新爆火董小姐飈上熱搜，突發集體開始懷念文革，跪求回去那個時代？七七叭叭TALK『提神醒腦279』20250501 - YouTube","youtube.com"
"Current Window","https://mail.google.com/mail/u/0/#inbox/FMfcgzQbdrWCNCrKKMmwGVCtwScJDTdK","免費學論文寫作還能抽 3000 元？論文發芽月🌱一起灌溉靈感 - pulipuli.chen@gmail.com - Gmail","mail.google.com"
"Current Window","https://drive.google.com/drive/u/0/folders/1_jghIITBUqVLDcyJw1kKKHAkawrxPQaj","20250425 北部教師RAG佈署 - Google 雲端硬碟","drive.google.com"
