"window","url","title","hostname"
"Current Window","https://shop.daiso.com.tw/products/4550480302225","不鏽鋼杯/700ml","shop.daiso.com.tw"
"Current Window","https://www.google.com/search?q=dam+describe+anything&oq=dam+describe+anything&aqs=chrome..69i57j33i160.10116j0j4&sourceid=chrome&ie=UTF-8","dam describe anything - Google 搜尋","google.com"
"Current Window","https://huggingface.co/spaces/nvidia/describe-anything-model-demo","Describe Anything - a Hugging Face Space by nvidia","huggingface.co"
"Current Window","https://describe-anything.github.io/","Describe Anything: Detailed Localized Image and Video Captioning","describe-anything.github.io"
"Current Window","chrome://newtab/","New Tab","newtab"
"Current Window","https://docs.google.com/presentation/d/1wPMb5klFtMWUqoIaosBOjFJjhnt1klRueCkYSvQZRRc/edit#slide=id.SLIDES_API1655285138_14","4. AI助理：基本設定篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","chrome-extension://aadahadfdmiibmdhfmpbeeebejmjnkef/manager.html","Window Manager","aadahadfdmiibmdhfmpbeeebejmjnkef"
"Current Window","https://docs.google.com/presentation/d/1Z6iNnL5Yr5aX2vRkXPHlVgu_749Q2cnf1tkSdapn7SA/edit#slide=id.g3160f6d0587_0_10","AI繪圖教學 x 教AI學習繪圖 - 5. 讓AI跟教學看齊 - 2024 - 新生醫專 - Google 簡報","docs.google.com"
"Current Window","https://l.pulipuli.info/24/hsu","Page not found · GitHub Pages","l.pulipuli.info"
"Current Window","https://l.pulipuli.info/24/hsu","Page not found · GitHub Pages","l.pulipuli.info"
"Current Window","https://l.pulipuli.info/24/hsu","Page not found · GitHub Pages","l.pulipuli.info"
"Current Window","https://search.google.com/search-console/inspect?resource_id=sc-domain%3Ablog.pulipuli.info&id=yL67bJlzG3ueI8sUeuwEJg","網址檢查","search.google.com"
"Current Window","https://blog.pulipuli.info/search?updated-max=2025-03-14T12:00:00%2B08:00&max-results=7&start=7&by-date=false","布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://blog.pulipuli.info/2023/07/datasetcensus-income.html","收入普查資料集 / Dataset: Census Income - 布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://www.google.com/search?q=布丁布丁+收入普查資料集&oq=布丁布丁+收入普查資料集&aqs=chrome..69i57j69i61.2710j0j4&sourceid=chrome&ie=UTF-8","布丁布丁 收入普查資料集 - Google 搜尋","google.com"
"Current Window","https://www.google.com/search?q=布丁布丁+淡江113學年度資訊週推廣活動&oq=布丁布丁+淡江113學年度資訊週推廣活動&aqs=chrome..69i57j0i751l5.1359j0j4&sourceid=chrome&ie=UTF-8","布丁布丁 淡江113學年度資訊週推廣活動 - Google 搜尋","google.com"
"Current Window","https://www.google.com/search?q=布丁布丁+讓Dify使用自己管理的搜尋引擎&oq=布丁布丁+讓Dify使用自己管理的搜尋引擎&aqs=chrome..69i57j0i512i546j0i751l4.1443j0j4&sourceid=chrome&ie=UTF-8","布丁布丁 讓Dify使用自己管理的搜尋引擎 - Google 搜尋","google.com"
"Current Window","https://blog.pulipuli.info/p/archives.html","文章存檔列表 / ARCHIVES - 布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://felo.ai/search/fdHceuBPPikWDeG7THX4Kc","管理提示詞 site:blog.pulipuli.info","felo.ai"
"Current Window","https://blog.pulipuli.info/2024/12/talk-creating-a-cover-image-forslide-section-using-dify-and-stable-diffusion.html","雜談：用Dify跟Stable Diffuision製作投影片章節的封面照片 / Talk: Creating a Cover Image for Slide Section Using Dify and Stable Diffusion - 布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://blog.pulipuli.info/2025/03/python-natural-language-processing-applications-named-entity-recognition-and-sentiment-analysis.html","Python自然語言處理應用：命名實體識別與情緒分析 / Python Natural Language Processing Applications: Named Entity Recognition and Sentiment Analysis - 布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://blog.pulipuli.info/2025/01/comfyui-is-userfriendly-but-results-differ-from-webui.html","雜談：ComfyUI很好用，但結果跟WebUI不一樣 / ComfyUI Is User-Friendly, But Results Differ From WebUI - 布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://blogger.googleusercontent.com/img/a/AVvXsEjP5bjbz1RbXCmvlRBEYjQnoCVo6r8Dqcd-hqrNUDCr9OvlAWrPMtaQi4EU0tK8Byqpf-0tyccSWJ_LNMYWrnlVrED6QSgYSn1vGElcpR0wst2q0yTYxQX1_mZ0kVT3m4IdqQ3OlAUGNzIt0LGth-35nlS5kAvBmgXoDk2gvxdgtFIbAfPMK7D22Q","AVvXsEjP5bjbz1RbXCmvlRBEYjQnoCVo6r8Dqcd-hqrNUDCr9OvlAWrPMtaQi4EU0tK8Byqpf-0tyccSWJ_LNMYWrnlVrED6QSgYSn1vGElcpR0wst2q0yTYxQX1_mZ0kVT3m4IdqQ3OlAUGNzIt0LGth-35nlS5kAvBmgXoDk2gvxdgtFIbAfPMK7D22Q (1242×794)","blogger.googleusercontent.com"
"Current Window","https://sites.google.com/view/l-pudding-info-25-nchu#h.1oq87pja98ae","AI繪圖：數據、提示(prompt)與調整","sites.google.com"
"Current Window","https://docs.google.com/presentation/d/1zD895RzGFs0Jr3MpBfzcu_0ZDrpOHCZnE1T3HcnOoSg/edit#slide=id.g340648d13d0_2_371","Part 2. 模型技術 - AI繪圖：數據、提示與調整 - 中興大學 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://www.google.com/search?q=布丁布丁+希希助教&oq=布丁布丁+希希助教&aqs=chrome.0.69i59.2142j0j4&sourceid=chrome&ie=UTF-8","布丁布丁 希希助教 - Google 搜尋","google.com"
"Current Window","https://aict.nkust.edu.tw/digitrans/?p=6985","使用Coze建置聊天機器人的經驗 / Experience in Building Chatbots With Coze – 資料治理與數位轉型產學聯盟","aict.nkust.edu.tw"
"Current Window","https://www.blogger.com/blog/posts/16607461","Blogger：文章","blogger.com"
"Current Window","https://www.google.com/search?q=whisper+speech&sca_esv=562e48654ed7a8f0&udm=2&biw=1920&bih=959&sxsrf=AHTn8zpQ_6EEc0lbMGBKQsh7Ss8rnwzl8A%3A1746103079802&ei=J2sTaIvbMP-Q2roP4vH20QU&ved=0ahUKEwjLisDupIKNAxV_iFYBHeK4PVoQ4dUDCBQ&uact=5&oq=whisper+speech&gs_lp=EgNpbWciDndoaXNwZXIgc3BlZWNoMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIpxRQ0QdYzhFwAXgAkAEAmAFCoAHrAqoBATe4AQPIAQD4AQGYAgigAqYDwgIHECMYJxjJAsICBhAAGAcYHsICCBAAGIAEGLEDwgILEAAYgAQYsQMYgwGYAwCIBgGSBwE4oAe4FLIHATe4B5kD&sclient=img#vhid=KK4KZbhNaaXyIM&vssid=mosaic","whisper speech - Google 搜尋","google.com"
"Current Window","https://www.superannotate.com/blog/openai-whisper-automatic-speech-recognition-system","OpenAI Whisper — Your speech-to-text AI: History and usage | SuperAnnotate","superannotate.com"
"Current Window","chrome://history/","Activity | Better History","history"
"Current Window","https://www.google.com/search?sca_esv=7b0f43a5d44a29e0&sxsrf=AHTn8zrdsf77lFtesirqGc-oD0VCvzjyDw:1746112868347&q=大同電鍋+6人份&source=lnms&fbs=ABzOT_AGBMogrnfXHu6GxeqSvos9CJsmT__hNolpvT0Yqdg7pjkQHRTT8sDAkAYHYNJlJDuRCpa82sQa4eCNebMvLDTY1LQ-PDbVp1_zCcYh1G9aJzJPgB1EhjHFyheAc5qtRBUUuGA7R8lrUP0Hi6Yt7HOnRs3Y95ZAi7ceKXLO902IO5_eSGapvWF9ypegIaVhHA4p3wmthXquKyiAr_vvRwnBjC_YHg&sa=X&ved=2ahUKEwi7soWqyYKNAxWLa_UHHYR8OaQQ0pQJegQIEBAB&biw=1920&bih=959&dpr=1","大同電鍋 6人份 - Google 搜尋","google.com"
