"window","url","title","hostname"
"Current Window","https://graduated-apt-jerry-department.trycloudflare.com/chat/AlQ2oDB7udj1z30C","novel - Powered by Dify","graduated-apt-jerry-department.trycloudflare.com"
"Current Window","https://blog.pulipuli.info/2016/09/google-google-drive-file-download-link.html#google_drive_download_link_20160926_anchor","Google雲端硬碟下載連結轉換器 / Google Drive File Download Link Generator - 布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://www.youtube.com/","YouTube","youtube.com"
"Current Window","https://www.youtube.com/watch?v=ywaD9a87cVY","「腦邊緣資本主義」來臨，Z世代成為最憂鬱世代？社群媒體損害年輕人心智來賺錢？社交障礙、睡眠剝奪、注意力碎片化、數位上癮！ 書來面對EP56《失控的焦慮世代》 - YouTube","youtube.com"
"Current Window","chrome-extension://aadahadfdmiibmdhfmpbeeebejmjnkef/manager.html","Window Manager","aadahadfdmiibmdhfmpbeeebejmjnkef"
"Current Window","chrome://newtab/","New Tab","newtab"
"Current Window","https://docs.google.com/presentation/d/1wPMb5klFtMWUqoIaosBOjFJjhnt1klRueCkYSvQZRRc/edit#slide=id.SLIDES_API1655285138_14","4. AI助理：基本設定篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/presentation/d/1wPMb5klFtMWUqoIaosBOjFJjhnt1klRueCkYSvQZRRc/edit#slide=id.SLIDES_API1655285138_24","4. AI助理：基本設定篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://dangerous-lizard-99.telebit.io/","listing directory /","dangerous-lizard-99.telebit.io"
"Current Window","https://docs.google.com/presentation/d/1wPMb5klFtMWUqoIaosBOjFJjhnt1klRueCkYSvQZRRc/edit#slide=id.SLIDES_API1241382128_78","4. AI助理：基本設定篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://www.google.com/search?q=langgenius%2Fdify-web&oq=langgenius%2Fdify-web&aqs=chrome..69i57j0i30j0i512i546l2j0i751l3j69i58.360j0j4&sourceid=chrome&ie=UTF-8","langgenius/dify-web - Google 搜尋","google.com"
"Current Window","https://github.com/langgenius/dify/tree/main/web","dify/web at main · langgenius/dify","github.com"
"Current Window","https://hub.docker.com/r/langgenius/dify-web","hub.docker.com/r/langgenius/dify-web","hub.docker.com"
"Current Window","https://www.google.com/search?q=西遊記&sca_esv=1740ddc3d2160827&udm=2&biw=1368&bih=647&sxsrf=AHTn8zoVvRWCCXYGWnLTTR9oHqKGt_nE2Q%3A1746119349183&ei=taoTaP7_CqKg1e8P7qucoA4&ved=0ahUKEwi-rqy84YKNAxUiUPUHHe4VB-QQ4dUDCBE&uact=5&oq=西遊記&gs_lp=EgNpbWciCeilv-mBiuiomDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARIxUxQpA9YpktwA3gAkAEAmAF4oAHSB6oBBDE3LjK4AQPIAQD4AQGYAg-gAvwFqAIKwgIGEAAYBxgewgILEAAYgAQYsQMYgwHCAgoQIxgnGMkCGOoCwgIIEAAYgAQYsQPCAgQQABgewgIGEAAYBRgewgIHECMYJxjJAsICDhAAGIAEGLEDGIMBGIoFwgIGEAAYCBgemAMMiAYBkgcEMTMuMqAHjyWyBwQxMC4yuAfhBQ&sclient=img#vhid=rupxAcSOtpWs8M&vssid=mosaic","西遊記 - Google 搜尋","google.com"
"Current Window","https://www.google.com/search?q=線上+數學+題目&oq=線上+數學+題目&aqs=chrome..69i57j0i512i546l2j0i751l2.2860j0j7&sourceid=chrome&ie=UTF-8","線上 數學 題目 - Google 搜尋","google.com"
"Current Window","https://emath.math.ncu.edu.tw/e_school/","子由數學小學堂","emath.math.ncu.edu.tw"
"Current Window","https://emath.math.ncu.edu.tw/e_school/drive_through.php","子由數學小學堂","emath.math.ncu.edu.tw"
"Current Window","https://emath.math.ncu.edu.tw/e_school/online_exam.php","子由數學小學堂","emath.math.ncu.edu.tw"
"Current Window","https://www.junyiacademy.org/course-compare","數學 | 均一教育平台","junyiacademy.org"
"Current Window","https://markdownlivepreview.com/","Markdown Live Preview","markdownlivepreview.com"
"Current Window","https://docs.google.com/presentation/d/1vXJXmTHkq2F-7zZaHjvPfFVcwva1h5ZlX0Yd0wvUUck/edit#slide=id.g34a9507f39e_0_0","投影片元件 圖示 - Google 簡報","docs.google.com"
"Current Window","chrome://newtab/","New Tab","newtab"
"Current Window","https://www.google.com/search?q=dify+display+math&oq=dify+display+math&aqs=chrome..69i57j33i160l4.4525j0j7&sourceid=chrome&ie=UTF-8","dify display math - Google 搜尋","google.com"
"Current Window","https://github.com/langgenius/dify/issues/2413","chating record displays math expressions incorrectly · Issue #2413 · langgenius/dify","github.com"
"Current Window","https://www.google.com/search?q=katex+rendermathinelement&oq=katex+render&aqs=chrome.2.69i57j0i19i512l2j0i19i30l3j0i8i19i30l4.9124j0j4&sourceid=chrome&ie=UTF-8","katex rendermathinelement - Google 搜尋","google.com"
"Current Window","https://katex.org/docs/autorender.html","Auto-render Extension · KaTeX","katex.org"
"Current Window","https://www.google.com/search?q=RehypeKatex&oq=RehypeKatex&aqs=chrome..69i57j0i10i512j0i751l2.370j0j4&sourceid=chrome&ie=UTF-8","RehypeKatex - Google 搜尋","google.com"
"Current Window","https://www.google.com/search?q=dify+singleDollarTextMath&oq=dify+singleDollarTextMath&aqs=chrome..69i57j33i10i160l5.1391j0j9&sourceid=chrome&ie=UTF-8","dify singleDollarTextMath - Google 搜尋","google.com"
"Current Window","https://github.com/langgenius/dify/issues/9206","The latest version of dify cannot properly render the formula of the markdown file. · Issue #9206 · langgenius/dify","github.com"
"Current Window","https://www.google.com/search?q=how+to+force+llm+use+double+dollar+signs+in+prompt&oq=how+to+force+llm+use+double+dollar+signs+in+prompt&aqs=chrome..69i57j33i160.22928j0j4&sourceid=chrome&ie=UTF-8","how to force llm use double dollar signs in prompt - Google 搜尋","google.com"
"Current Window","https://github.com/langchain-ai/langchain/discussions/18263","How to escape $ (money symbol) on a PromptTemplate · langchain-ai/langchain · Discussion #18263","github.com"
"Current Window","https://graduated-apt-jerry-department.trycloudflare.com/app/539542d0-59a2-4b15-89d5-15e3f8cc0693/configuration","novel - Dify","graduated-apt-jerry-department.trycloudflare.com"
"Current Window","https://www.youtube.com/watch?v=ne038gThaLc","ロマンシング サガ2 リメイク バトルBGMメドレー（＋イントロイベント）【ロマサガ2R】 - YouTube","youtube.com"
"Current Window","https://docs.google.com/presentation/d/1JDF1lOGGNLanBy7jg3yL9sD6te7iFjUFGH0L-tqms8Q/edit#slide=id.g34a706f08a3_0_410","6. AI助理：知識庫篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://script.google.com/u/0/home/projects/1CkO7wxwcWEr-HFLjw2Z-xVfDJyVknZsS1ch9JZ9vu-NkgaegDQzfts59/edit","6. AI助理：知識庫篇 - 動手建立客製化AI教學助理 - 2025 - 專案編輯器 - Apps Script","script.google.com"
"Current Window","https://docs.google.com/presentation/d/1Yd_mt4aE67s06xmJ0YYPH0pAJotYVmBfn7tg-bXkSRQ/edit#slide=id.g315e1caf4bc_0_0","5. AI助理：多模態篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://www.youtube.com/watch?v=9V53JEhS4yk","中國教育是如何毀了我們的？ - YouTube","youtube.com"
"Current Window","https://www.youtube.com/","YouTube","youtube.com"
"Current Window","https://drive.google.com/drive/u/0/recent?q=type:spreadsheet","近期存取 - Google 雲端硬碟","drive.google.com"
"Current Window","https://gemini.google.com/app/34b7ccffe768d7a6","Gemini","gemini.google.com"
"Current Window","https://chatgpt.com/c/68139b7c-ee4c-8012-97eb-6eee96da612f","數學方程式顯示","chatgpt.com"
"Current Window","https://drive.google.com/drive/u/0/folders/1_jghIITBUqVLDcyJw1kKKHAkawrxPQaj","20250425 北部教師RAG佈署 - Google 雲端硬碟","drive.google.com"
"Current Window","chrome://newtab/","New Tab","newtab"
"Current Window","https://github.com/langgenius/dify/blob/main/web/app/components/base/markdown.tsx","dify/web/app/components/base/markdown.tsx at main · langgenius/dify","github.com"
"Current Window","https://sites.google.com/d/1Js__GojUu_K8zzAdHah5aTtNJmsZtjco/p/1vL56UxSL1nvYm31fGFqND0HN_AJePw2q/edit","實作：AI助理，請評分","sites.google.com"
"Current Window","https://docs.google.com/spreadsheets/d/136ZnHbbdy6cHOB84vdRvFhPVeJgFkXGFGtF8FlTZvkk/edit?gid=0#gid=0","中國小說四大名著 待評分回答 - Google 試算表","docs.google.com"
