"window","url","title","hostname"
"Current Window","https://graduated-apt-jerry-department.trycloudflare.com/app/9d139741-ab8e-4aea-807d-2fe26ad512bb/logs","rag - Dify","graduated-apt-jerry-department.trycloudflare.com"
"Current Window","https://graduated-apt-jerry-department.trycloudflare.com/chat/WgG0fnrFHv1IiekU","rag - Powered by Dify","graduated-apt-jerry-department.trycloudflare.com"
"Current Window","https://graduated-apt-jerry-department.trycloudflare.com/chat/WgG0fnrFHv1IiekU","rag - Powered by Dify","graduated-apt-jerry-department.trycloudflare.com"
"Current Window","https://graduated-apt-jerry-department.trycloudflare.com/datasets","Knowledge - Dify","graduated-apt-jerry-department.trycloudflare.com"
"Current Window","https://docs.google.com/presentation/d/1okVLZLgz_yqp1Fnc1Q-op8pAD66aEzvv6ijgg3-1U6Y/edit#slide=id.g33347de34c8_1_1","陳勇汀 - 圖譜 x 神鳥 x 實作派 - 20250310 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/presentation/d/11dK8xHi7NKlZ0UFZbQKyE2X1TXhUX9SAr-VLk3hTjm0/edit#slide=id.g3312360177a_0_340","陳勇汀 - 開學 x LightRAG x 架Docker - 20250218 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/presentation/d/1wPMb5klFtMWUqoIaosBOjFJjhnt1klRueCkYSvQZRRc/edit#slide=id.SLIDES_API1241382128_70","4. AI助理：基本設定篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/presentation/d/1Yd_mt4aE67s06xmJ0YYPH0pAJotYVmBfn7tg-bXkSRQ/edit#slide=id.SLIDES_API928337219_10","5. AI助理：多模態篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/presentation/d/1Yd_mt4aE67s06xmJ0YYPH0pAJotYVmBfn7tg-bXkSRQ/edit#slide=id.SLIDES_API1274587631_106","5. AI助理：多模態篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/presentation/d/1Yd_mt4aE67s06xmJ0YYPH0pAJotYVmBfn7tg-bXkSRQ/edit#slide=id.g34a706f08a3_0_410","5. AI助理：多模態篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/presentation/d/1wPMb5klFtMWUqoIaosBOjFJjhnt1klRueCkYSvQZRRc/edit#slide=id.SLIDES_API957068578_9","4. AI助理：基本設定篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/presentation/d/1oKENhy6qEbjEBsDCWwISp-FCW1EebkJ7hyJl3KFA7jM/edit#slide=id.g35154b8887d_0_969","3. Dify開關篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://script.google.com/u/0/home/projects/1CkO7wxwcWEr-HFLjw2Z-xVfDJyVknZsS1ch9JZ9vu-NkgaegDQzfts59/edit","6. AI助理：知識庫篇 - 動手建立客製化AI教學助理 - 2025 - 專案編輯器 - Apps Script","script.google.com"
"Current Window","https://docs.google.com/presentation/d/1fLKtZDJMCraDu2I-drVRW7wXqTfLOBHicCmepG9MDOA/edit#slide=id.SLIDES_API433379333_80","2. 環境準備篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://translate.google.com/?sl=fr&tl=zh-TW&text=翻譯有問題吧好可怕&op=translate","Google 翻譯","translate.google.com"
"Current Window","https://docs.google.com/presentation/d/1JDF1lOGGNLanBy7jg3yL9sD6te7iFjUFGH0L-tqms8Q/edit#slide=id.SLIDES_API1504180846_68","6. AI助理：知識庫篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://news.google.com/home?hl=zh-TW&gl=TW&ceid=TW:zh-Hant","Google 新聞","news.google.com"
"Current Window","https://www.messenger.com/e2ee/t/7362272373895834","Messenger","messenger.com"
"Current Window","https://www.youtube.com/watch?v=zWJWHue-pB4","長大後想交朋友變好難！全球成年人都深陷的「孤獨漩渦」，到底怎麼一回事？｜志祺七七 - YouTube","youtube.com"
"Current Window","https://www.facebook.com/","Facebook","facebook.com"
"Current Window","https://docs.google.com/presentation/d/1Yd_mt4aE67s06xmJ0YYPH0pAJotYVmBfn7tg-bXkSRQ/edit#slide=id.SLIDES_API1274587631_64","5. AI助理：多模態篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/presentation/d/1wPMb5klFtMWUqoIaosBOjFJjhnt1klRueCkYSvQZRRc/edit#slide=id.SLIDES_API957068578_0","4. AI助理：基本設定篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","chrome-extension://aadahadfdmiibmdhfmpbeeebejmjnkef/manager.html","Window Manager","aadahadfdmiibmdhfmpbeeebejmjnkef"
"Current Window","chrome://newtab/","New Tab","newtab"
"Current Window","https://script.google.com/u/0/home/projects/1CkO7wxwcWEr-HFLjw2Z-xVfDJyVknZsS1ch9JZ9vu-NkgaegDQzfts59/edit","6. AI助理：知識庫篇 - 動手建立客製化AI教學助理 - 2025 - 專案編輯器 - Apps Script","script.google.com"
"Current Window","https://sites.google.com/d/1Js__GojUu_K8zzAdHah5aTtNJmsZtjco/p/1vL56UxSL1nvYm31fGFqND0HN_AJePw2q/edit","實作：AI助理，請評分","sites.google.com"
"Current Window","https://www.instagram.com/tku.library/p/DFB34vyzmXg/","淡江大學圖書館 | ＜重要公告＞ 圖書館自114年起停訂EndNote書目管理軟體 📍因資料庫經費不足及匯率影響，自114年起停訂EndNote書目管理軟體，2月1日起將無法下載軟體 📍已下載EndNote書目管理軟體者，使用及原有書目不受影響... | Instagram","instagram.com"
"Current Window","https://blog.pulipuli.info/","布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://blog.pulipuli.info/2011/05/zoteroapa_04.html","用Zotero輸出中文、英文不同的APA參考文獻：我的碩士論文參考文獻製作過程 - 布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://draft.blogger.com/blog/post/edit/16607461/4046744721933360806","文章：編輯","draft.blogger.com"
"Current Window","https://blog.pulipuli.info/2011/10/zotero.html","從臺灣博碩士論文知識加值系統匯入書目到Zotero - 布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://www.blogger.com/blog/post/edit/16607461/3604004813173686376","文章：編輯","blogger.com"
"Current Window","https://blog.pulipuli.info/2013/03/zotero-install-custom-translator-on.html","Zotero安裝自製的轉譯器 / Install custom translator on Zotero - 布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://www.blogger.com/blog/post/edit/16607461/2794310731408289929","文章：編輯","blogger.com"
"Current Window","https://blog.pulipuli.info/2013/03/zoteroceps-using-zotero-imports.html","用Zotero從CEPS中文期刊服務直接匯入書目 / Using Zotero to import references from CEPS - 布丁布丁吃什麼？","blog.pulipuli.info"
"Current Window","https://www.blogger.com/blog/post/edit/16607461/1012963134845992264","文章：編輯","blogger.com"
"Current Window","https://docs.google.com/presentation/d/11hYhjB6z04UtQRjESZcsbKuA5stkzdS9arwZ1I1naR4/edit#slide=id.g34a706f08a3_0_390","1. 前言與理論 - RAG：技術與應用 - 政治大學 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://sites.google.com/view/20250411-rag-2025","RAG：技術與應用 - 政治大學 - 2025","sites.google.com"
"Current Window","https://drive.google.com/file/d/1JxTZd0WxpoErKAuKv6A_7qnm4pgF-GxH/view","中國編目規則第三版 1. 總則.pdf - Google 雲端硬碟","drive.google.com"
"Current Window","https://docs.google.com/presentation/d/1Jg-twLmwqCZNXBavhz-yvTCF6fr9t_BhDZc6Pe8k6Rg/edit#slide=id.SLIDES_API1386172973_65","2. 實作與比較 - RAG：技術與應用 - 政治大學 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://docs.google.com/presentation/d/1qJ6Essit23KJ5aaXZFCFC6Gyvw_HGPM2E1XyQ_u4OM8/edit#slide=id.SLIDES_API754653185_5","4. 限制與結語 - RAG：技術與應用 - 政治大學 - 2025 - Google 簡報","docs.google.com"
"Current Window","https://www.google.com/search?sca_esv=599b8d6373705053&sxsrf=AHTn8zqkrUm2o_ZSjwVc7GZXtluhLuCrjg:1746168848093&q=huggingface+icon&udm=2&fbs=ABzOT_AGBMogrnfXHu6GxeqSvos9YNXXoqT4M1zPLW-rz66fPREElZJAoWfbmRiguPBpN6JU2UCRcqrqJrdjjSW0bkf9pxRjahqyvMNPlFoeK4j_uhCpYe1WGRpo4d5SM-QGLpqgsdw3CzNRHhovjyg-gxizBcR-HuuXG_HUKA8ZLsUbKZMzEnxS5oyQJpEGu-eNfLmbNHns&sa=X&ved=2ahUKEwiq6qHvmYSNAxXiUfUHHWfnMS8QtKgLegQIGhAB&biw=1920&bih=959#vhid=8z-fp0-7mfO70M&vssid=mosaic","huggingface icon - Google 搜尋","google.com"
"Current Window","https://docs.google.com/presentation/d/13j_-ORCA5WCPYgreVeBzFJx7Tz0oxzdGrVUKNwzZ0VE/edit#slide=id.SLIDES_API2034823619_19","7. AI助理：RAG篇 - 動手建立客製化AI教學助理 - 2025 - Google 簡報","docs.google.com"
"Current Window","chrome://newtab/","New Tab","newtab"
"Current Window","https://docs.google.com/presentation/d/1MNCfPqZbz4G8Bg_k6qNqwoHTQpRi2a4sQQBATnDynUI/edit#slide=id.g321d5b96aa8_0_296","RAG簡介：現況、原理、發展 - 2024 - Google 簡報","docs.google.com"
"Current Window","https://www.google.com/search?sca_esv=9df43f45575a1278&sxsrf=AHTn8zqwGVOhj46bkNRJuLAgwvj-ueI3kw:1746153232807&q=戰舞郎&udm=2&fbs=ABzOT_AGBMogrnfXHu6GxeqSvos9YNXXoqT4M1zPLW-rz66fPXoCFNtWxIgxprNqiPJgq2JFbSh08b8Y192bvKcGhRm95zFoCPz8oH20zKwpJVmrr6eIfO-ssvuRRzpoyzZxRvfM3DHlSizo1zTE-iZpW8I-vFsmO-00N40uxPu8c77sOW0lTfYDhjsFJ-sb-7fvlvVtGWZC&sa=X&ved=2ahUKEwjJuajZ34ONAxWoqVYBHUYHCX4QtKgLegQIGhAB&biw=1368&bih=647&dpr=1#vhid=XsoNxMkmkaAKiM&vssid=mosaic","戰舞郎 - Google 搜尋","google.com"
"Current Window","https://technews.tw/2025/05/01/no-delay-when-opening-explorer-anymore/","Windows 檔案總管延遲問題長達十多年，微軟最近終於偷偷修好 | TechNews 科技新報","technews.tw"
"Current Window","https://www.google.com/search?q=Google+翻譯+法文&sca_esv=50afecde28fc5d24&sxsrf=AHTn8zq2HhP4Sbosl5wwsTZPQx6wPGr8aQ%3A1746191133597&ei=HcMUaPeGJLOs0-kP_sT0yQw&ved=0ahUKEwi3ienx7ISNAxUz1jQHHX4iPckQ4dUDCBA&uact=5&oq=Google+翻譯+法文&gs_lp=Egxnd3Mtd2l6LXNlcnAiFEdvb2dsZSDnv7vora8g5rOV5paHMgQQABgDMgQQABgDMgQQABgDMgUQABiABDIFEAAY7wVI2g1QrwNYugxwAXgBkAEAmAFWoAHIBKoBATm4AQPIAQD4AQGYAgqgApkFwgIKEAAYsAMY1gQYR8ICBBAjGCfCAgQQABgewgIGEAAYCBgewgIIEAAYgAQYogTCAggQABiiBBiJBZgDAIgGAZAGCpIHAjEwoAe3GLIHATm4B4oF&sclient=gws-wiz-serp","Google 翻譯 法文 - Google 搜尋","google.com"
"Current Window","https://tw.news.yahoo.com/中國工程師暗網求救-google翻譯竟出現-詭異訊息-網實測嚇-從頭毛到尾-050500587.html","中國工程師暗網求救？Google翻譯竟出現「詭異訊息」 網實測嚇：從頭毛到尾","tw.news.yahoo.com"
